,Target_Campaign_Responsiveness
1840,0
528,0
590,0
639,0
1256,1
1630,0
388,1
143,0
129,0
815,0
2003,0
169,0
2024,0
1406,0
780,0
714,0
746,0
2197,0
2022,0
1922,0
1312,0
2205,0
1830,1
829,1
59,0
680,0
1277,0
629,0
1595,0
1495,0
1004,0
804,1
1593,0
1512,0
262,0
2068,1
255,0
426,0
1275,0
280,0
845,0
2021,0
1760,0
158,0
1247,0
1003,0
1243,1
284,0
1582,1
897,1
37,1
1155,0
1140,1
2075,0
1276,0
985,1
2180,0
315,0
1300,0
1972,1
2144,1
260,0
1241,0
1505,0
278,0
777,0
1763,0
630,1
555,0
1868,0
757,0
1602,0
1286,0
2078,0
337,0
77,0
1171,1
50,0
435,0
1026,0
318,1
451,0
1827,0
1018,1
266,0
935,1
1297,0
1785,0
2052,0
1714,0
334,0
858,0
36,0
249,0
395,0
1189,1
1939,0
1669,0
153,0
1284,0
206,0
2104,0
661,0
1095,1
755,0
66,0
2011,0
641,0
1633,0
873,0
1964,0
541,1
1655,0
1841,0
275,0
659,0
148,0
852,0
908,1
688,0
2111,0
1543,0
31,1
1638,0
1599,0
620,0
496,1
1038,0
269,0
1225,0
711,0
118,0
2032,0
929,1
382,0
1125,0
11,0
525,0
562,0
707,0
1252,0
475,0
1221,1
84,0
127,1
325,0
1689,0
1979,0
843,1
1619,0
1414,0
353,0
235,0
96,0
1747,0
312,0
1589,0
1097,1
58,0
860,0
1182,0
1344,0
1363,0
2119,1
159,0
947,0
1117,1
113,0
1278,0
1525,0
1389,1
407,1
201,0
18,0
2128,0
62,1
1772,1
225,0
1681,0
1665,0
1190,1
833,0
1066,1
1154,1
773,0
2067,1
78,0
139,0
753,0
1441,0
1909,0
1250,1
1730,1
2029,0
399,0
205,1
117,1
1855,0
2007,0
1645,0
1690,1
358,1
1664,0
963,1
638,0
781,0
2159,1
1698,0
569,0
473,0
1660,1
495,0
199,0
111,0
1994,1
1588,0
1164,0
133,0
1711,0
783,0
1255,0
419,0
1899,0
2089,0
1562,0
1217,0
2033,0
1179,0
691,0
166,0
542,0
401,1
47,0
1886,0
329,0
61,0
2076,1
793,0
485,0
29,0
616,0
2175,0
1515,0
1483,0
1310,0
1915,0
1611,0
1736,0
156,1
1878,0
1158,0
1962,1
632,0
270,0
1953,0
1273,0
1682,0
2145,1
1454,0
2186,0
615,0
930,0
2177,0
1712,1
55,1
1115,0
1192,1
965,0
677,0
2152,1
912,0
527,1
1456,0
221,0
486,0
883,0
530,1
359,0
1287,0
1139,0
301,0
136,0
1159,0
112,1
1498,0
1017,0
1083,0
472,0
285,0
423,0
1019,0
1395,0
74,0
296,0
978,0
1622,0
1185,0
449,0
76,0
745,0
1590,0
108,0
823,1
640,0
1112,0
1046,1
1929,0
1769,0
1470,1
1478,0
1010,1
1831,0
1632,1
1068,1
1238,0
2009,0
1232,0
710,1
264,0
1198,0
1835,1
2120,0
1123,0
1654,0
2048,0
917,0
1202,0
1120,0
1072,0
643,1
1394,0
591,0
1064,0
572,1
774,0
733,1
1222,0
726,0
2018,0
1333,1
869,0
952,1
1194,1
1861,1
1216,0
920,0
1242,1
988,0
1575,1
1748,0
1239,1
969,0
1809,1
1641,0
110,0
679,0
1514,0
44,0
1294,0
1295,0
1715,0
1307,1
196,0
389,0
447,1
1133,1
1956,0
1800,1
1820,0
1700,0
339,0
856,0
2093,0
1378,0
345,0
1542,0
135,1
1885,0
925,0
1667,1
1150,0
2036,0
21,1
1692,0
1235,1
2023,0
1913,0
140,1
1422,1
799,0
409,0
1928,0
727,0
1107,0
1907,0
1032,1
2211,1
2129,0
229,0
348,0
1022,1
836,1
1601,0
1328,0
180,0
1457,0
468,0
1751,0
674,1
1280,0
1231,0
2161,1
2054,0
462,0
2189,0
821,0
191,1
1838,0
1069,0
1518,1
1291,1
563,0
1342,0
1000,1
752,0
1224,0
132,0
2058,0
2095,0
972,0
1706,1
1547,0
2044,0
1399,0
877,0
440,1
155,1
844,0
1061,0
1009,0
809,0
1887,0
186,0
1145,0
558,0
719,1
1309,0
838,1
35,0
1916,1
1685,0
2210,0
734,0
379,0
183,0
1947,0
1807,1
1791,0
456,1
1089,1
1905,0
951,0
1366,1
412,0
1070,0
163,1
602,0
871,0
1282,1
1819,1
56,0
1114,1
2179,0
806,1
1709,0
1339,0
547,0
1954,0
1732,0
258,0
1643,0
2149,1
712,0
2004,0
1513,1
2122,0
223,0
1701,1
98,0
637,0
513,0
1892,0
322,0
357,1
26,0
1959,1
1316,1
1668,0
2167,1
507,1
1986,0
633,0
2187,0
2131,0
1218,0
919,0
446,0
453,0
1203,0
2057,0
1608,1
762,0
598,1
1479,0
1845,1
210,0
2156,0
1545,0
973,0
1564,1
1623,0
97,0
1949,1
583,0
1092,1
1628,1
913,0
2169,0
304,0
728,1
1448,0
335,1
524,0
1248,1
1989,0
618,1
1214,0
1541,0
1635,0
70,1
244,0
1153,0
1674,0
1870,0
92,0
923,0
1536,1
944,0
1051,0
1971,0
1466,0
49,1
1151,0
212,0
650,0
1559,0
1349,1
102,1
1149,0
1713,1
305,0
902,0
1116,0
1898,0
477,0
685,0
1056,0
85,0
286,1
1893,1
1355,0
1618,0
715,0
1538,0
1621,1
2034,0
231,0
317,1
1526,0
1067,0
999,0
417,0
1517,1
1570,0
847,0
540,0
713,1
535,1
1614,0
1126,0
957,0
2198,1
1889,1
601,0
121,0
1944,0
1122,0
1839,0
1343,0
1650,1
718,1
1966,0
1285,1
1044,1
1030,0
1340,1
4,0
1563,0
1085,0
1037,1
548,0
1271,0
1296,0
1920,1
2014,1
1978,1
1031,0
40,0
744,0
2040,0
2138,0
146,0
480,0
2170,0
321,1
820,0
290,0
360,1
1023,0
2077,1
1073,1
424,0
1535,0
517,0
1132,0
1384,0
1657,0
347,0
894,0
404,0
1775,0
478,1
254,1
1766,0
703,0
2006,0
608,1
553,0
875,0
488,0
1792,1
1897,0
243,1
1438,1
1351,0
1183,0
956,0
75,0
1226,1
557,0
906,1
1412,1
967,0
2074,0
1266,0
909,0
418,0
216,0
854,1
1197,1
721,0
1207,1
857,0
628,1
976,1
559,1
1652,1
2061,1
700,1
2015,0
1597,0
927,1
1490,0
1888,0
428,0
60,1
663,0
1902,1
1867,1
1610,0
817,0
2147,0
1213,0
1798,0
1961,1
2064,1
134,0
433,0
457,0
903,1
898,1
1497,0
603,0
1799,0
289,0
151,0
1728,0
571,0
291,0
192,0
959,0
1488,0
573,0
173,0
54,0
758,0
1331,0
149,0
1042,0
1814,1
2069,0
1261,0
99,0
1058,0
1914,0
946,1
612,0
556,0
1783,1
179,1
867,0
626,0
697,0
307,0
405,0
1376,0
1227,0
2155,1
1852,0
660,1
2153,0
792,1
1675,0
1574,0
805,0
835,0
782,0
1506,0
267,0
439,0
2035,0
241,0
2027,1
1824,0
252,0
1170,0
256,0
483,0
494,1
1475,0
119,0
1987,1
1816,0
1662,0
1489,0
86,0
2008,1
1408,0
702,0
1942,0
1118,1
568,0
1491,0
1624,0
2073,1
2071,0
1375,0
1806,0
1359,0
1265,1
1869,1
613,0
1795,0
1098,0
176,0
1955,0
739,0
1476,0
696,0
964,0
1965,0
1528,0
492,0
2108,0
361,0
1571,0
1087,0
874,1
30,1
1045,1
364,0
203,0
2201,0
1016,0
7,0
1411,0
1826,0
1065,1
1103,0
737,1
1437,0
1184,0
1509,0
2178,0
1188,0
168,1
145,0
621,0
646,0
980,1
1754,0
982,1
1078,0
1236,1
636,0
1472,1
1334,0
2166,0
1431,0
1731,0
458,0
1360,0
1684,1
580,0
611,1
1076,0
687,1
442,0
1672,0
936,1
1605,0
1600,1
53,0
162,0
509,0
990,0
2136,0
2106,0
592,0
2080,0
942,0
1895,1
2013,0
2192,0
1726,0
1172,0
849,0
2148,1
779,1
1879,0
1370,0
825,0
1828,0
1746,0
1554,1
1932,0
1077,0
217,0
1417,0
434,0
1270,1
518,0
1021,0
391,0
1612,0
9,1
1876,1
866,0
411,1
141,0
2066,0
521,1
754,0
1258,0
48,0
617,1
1877,1
414,1
42,0
565,0
2084,0
1705,1
516,1
1434,0
861,0
519,0
1864,0
742,0
228,0
1688,0
1555,0
3,0
2146,0
1857,1
2137,1
1825,1
798,0
1521,0
1146,1
812,0
2126,0
1757,0
1977,0
896,1
891,0
622,1
463,0
1771,0
772,1
1348,1
850,0
1319,0
1163,1
1724,0
785,0
1815,0
489,0
1358,0
1983,0
523,0
1951,1
1109,1
561,0
2086,0
741,0
2031,1
993,0
425,0
2123,0
1180,0
209,0
2195,1
747,1
1631,1
340,1
1568,0
1782,0
261,0
1834,1
1894,0
955,0
1007,0
1803,0
1853,0
402,1
567,0
237,0
346,0
1303,0
1305,0
905,0
497,1
1100,1
1106,0
1228,0
619,0
1404,0
1352,0
2087,0
2017,0
1187,1
1254,1
1778,1
1615,0
1671,0
342,0
1426,0
940,1
437,0
776,1
1817,1
1079,0
1553,0
807,0
1607,0
392,0
1999,0
1670,0
801,0
1968,0
466,1
91,0
1963,0
1033,1
1926,1
1299,0
1993,0
693,1
230,1
1794,0
1169,0
1995,0
1082,0
1442,1
120,0
761,0
767,0
911,1
962,0
1416,0
1639,1
904,1
236,0
378,0
6,0
308,0
709,0
1523,0
564,1
1201,0
2028,1
444,1
652,0
1699,1
549,0
888,0
1721,0
328,1
52,1
1108,0
491,0
819,0
842,0
1793,1
273,0
2196,0
1625,0
2188,0
699,0
1904,0
2190,0
506,0
1374,0
1136,0
71,1
1485,1
1364,0
1204,0
1952,1
403,0
704,0
1812,0
1629,0
1407,0
934,0
2043,0
834,0
1768,0
515,0
387,0
1653,1
63,0
682,0
794,0
306,0
827,0
1943,1
924,0
1882,0
104,1
830,0
43,1
831,0
1749,1
1392,0
514,0
1695,0
1804,0
80,1
1373,0
295,1
1896,0
1410,0
1646,0
1302,0
1057,0
1549,0
2037,0
1874,0
1596,0
918,0
1551,0
1790,0
175,0
1450,0
730,0
1427,1
1465,0
1583,0
245,0
1482,1
1071,1
576,0
981,0
594,0
824,0
1659,0
1577,1
1957,0
1717,1
1921,0
1980,0
539,0
1859,0
1418,0
1315,1
997,0
950,1
876,0
575,1
281,0
889,0
1777,0
1616,0
574,1
327,0
474,0
298,0
1362,1
1230,0
503,1
2055,0
313,0
500,0
1557,1
855,1
1740,0
1773,0
690,0
1357,1
552,0
234,0
1332,1
2183,0
716,0
1206,1
764,0
1320,0
1377,0
1758,0
1403,0
884,0
408,1
1801,0
1770,0
368,0
1161,0
2203,1
1260,1
811,0
725,0
2072,1
2134,1
2117,0
1544,0
1124,0
57,0
1464,0
1423,1
1141,0
1703,1
1996,1
265,1
609,0
172,0
1147,0
1673,0
202,0
958,0
1733,1
1573,0
870,0
1508,1
1486,0
1093,0
188,1
27,1
293,1
1385,0
1716,0
1290,0
116,0
41,0
2049,0
271,0
1048,0
1808,0
272,0
1467,1
142,0
1327,0
251,1
1687,0
1127,0
1391,1
953,0
288,0
22,0
1361,1
991,1
72,0
1937,1
743,0
722,0
1933,1
945,0
1910,0
2094,0
1592,1
1012,0
2046,0
522,0
670,1
1119,0
187,1
1908,1
470,0
397,0
1765,0
686,1
1613,0
400,1
1013,0
1396,0
128,0
1461,0
2204,0
749,0
2194,0
1480,0
2162,0
885,0
2114,0
731,0
1723,1
493,0
1049,0
371,0
822,0
2121,0
1539,0
886,0
336,1
88,0
2026,0
526,0
415,0
471,0
137,0
2172,1
1380,0
769,0
848,0
1413,0
1094,0
1976,1
865,0
1725,0
532,1
1750,1
853,0
2107,0
642,0
2206,0
570,1
181,0
511,0
355,0
1401,0
2039,0
2184,0
1262,1
89,1
1958,1
2115,0
648,0
789,0
268,0
8,1
157,0
2185,0
114,0
1842,0
1729,1
1923,0
1443,0
1304,0
2112,0
436,0
1676,0
585,0
671,0
1883,0
283,0
607,0
814,0
1637,0
1945,0
1693,1
546,0
282,1
2202,0
370,1
1484,1
1084,1
1086,0
996,0
164,0
724,0
1165,0
124,1
1368,0
1871,1
373,0
431,1
1050,1
1598,0
103,1
1529,0
1322,0
349,0
454,0
658,0
257,1
1744,0
1851,0
376,0
795,1
15,0
2171,1
1805,0
1617,0
1935,0
1356,0
1527,1
366,0
939,0
1990,0
1264,1
1453,1
1053,0
1105,0
195,0
294,1
277,1
350,0
1178,0
508,1
1096,0
1129,0
410,1
928,0
600,0
2105,1
966,0
204,0
87,1
224,0
398,0
363,0
105,0
543,1
588,0
2140,0
1940,0
1872,0
219,1
1552,1
1565,1
2163,0
882,0
1579,0
226,0
200,0
1432,1
657,0
1941,1
536,0
2001,0
717,0
218,1
354,0
1906,1
810,1
979,0
369,0
1329,0
1330,0
1160,0
689,1
1580,0
2038,0
1468,1
1677,1
662,1
1779,0
1062,0
1402,1
207,0
1035,1
1420,0
413,0
560,0
840,0
787,0
837,1
578,0
545,0
1548,1
380,0
1720,1
2041,0
1372,0
1992,1
0,1
1039,0
1584,0
1759,0
1787,0
790,0
1930,0
16,0
1369,0
167,0
1810,0
566,0
1531,0
1741,0
1642,0
292,1
1850,0
1823,0
1901,0
93,0
1663,0
1585,0
1832,0
182,0
1459,1
900,0
1353,0
438,0
1367,0
107,1
122,0
1014,1
1234,1
2141,1
765,0
520,0
1648,0
1919,0
1784,1
1091,0
1558,0
1253,0
1419,0
460,0
1298,0
1006,1
1052,0
1326,1
1283,0
1678,0
968,1
394,1
1880,0
372,0
1041,0
1011,0
926,1
385,0
32,0
33,0
220,0
1587,1
1743,0
2056,0
2092,0
672,1
1493,0
1059,1
481,0
445,0
2158,0
529,0
45,0
1938,1
390,1
461,0
501,0
2002,0
1988,0
1975,1
2174,0
914,0
331,1
1691,1
1249,1
279,1
10,0
1382,0
1917,1
1656,0
2200,0
1510,1
17,1
2127,1
504,0
147,0
1742,0
253,1
694,0
975,0
1686,1
998,0
2151,0
1997,0
138,0
750,0
1560,0
890,1
921,1
247,1
2143,0
647,0
2182,0
1398,0
2098,1
1511,1
1199,1
1640,0
1837,0
2181,1
599,0
1029,0
1168,0
1821,1
240,0
1833,1
1856,1
1946,0
1950,1
5,0
1974,0
797,0
943,0
534,0
1469,0
1001,0
1212,0
1680,0
1761,0
194,1
1844,1
1306,1
1934,0
383,1
625,0
1166,1
1279,0
720,0
1211,1
748,0
623,1
1581,1
1522,0
160,0
28,0
351,0
1802,0
631,0
1458,0
1843,0
974,1
983,0
1969,0
1985,0
1918,0
708,1
960,1
735,0
2176,1
427,0
1110,0
1546,1
1556,1
1694,0
531,0
1477,1
675,0
450,1
1424,1
2209,1
1471,0
34,0
2193,0
587,0
1973,1
788,1
38,0
1220,0
393,0
1152,0
1890,0
101,0
1036,0
1912,0
1028,1
1683,0
238,0
862,0
665,0
1881,0
19,0
326,1
490,0
1314,0
1281,1
81,1
899,0
832,0
971,1
893,0
1397,0
2116,0
174,0
215,0
1818,0
1982,1
1524,0
381,1
2000,0
441,1
994,1
1318,1
95,1
937,0
1047,1
1054,0
589,1
94,0
1967,0
1460,0
374,1
1324,1
1162,0
222,0
803,0
1104,0
1829,0
1428,0
678,1
1015,1
653,0
12,0
2059,0
1251,0
1209,0
1325,0
1927,0
681,1
738,0
1606,0
1075,0
2118,1
2060,0
1386,0
1137,1
341,0
1387,0
1173,0
1219,0
1774,1
1237,0
1788,1
362,0
1390,0
859,1
1647,0
879,0
1866,0
1533,1
1776,0
465,0
232,0
1240,1
2164,1
1346,0
596,0
165,1
131,0
668,0
82,1
1739,0
1718,1
144,1
1229,0
655,0
311,0
846,0
705,0
1156,0
791,0
938,0
1797,1
1708,0
375,0
1060,1
299,0
813,0
1063,0
800,0
109,0
499,0
881,0
1755,1
100,0
676,0
1447,1
1813,0
250,0
498,0
1891,1
1405,0
1002,0
802,0
1233,1
464,0
2082,0
851,0
949,0
941,0
1745,0
604,0
1371,0
872,0
2025,0
1111,0
1569,1
1658,0
1854,0
2150,0
1884,1
1043,0
505,1
316,0
1537,0
1649,1
2053,1
2010,1
297,0
2173,0
751,0
384,0
1208,0
1223,0
1195,0
208,0
